File,Zero_Crossing_Rate,RMS_Energy,Spectral_Centroid,Spectral_Bandwidth,Spectral_Rolloff,Spectral_Flatness,MFCC_1_mean,MFCC_1_std,MFCC_2_mean,MFCC_2_std,MFCC_3_mean,MFCC_3_std,MFCC_4_mean,MFCC_4_std,MFCC_5_mean,MFCC_5_std,MFCC_6_mean,MFCC_6_std,MFCC_7_mean,MFCC_7_std,MFCC_8_mean,MFCC_8_std,MFCC_9_mean,MFCC_9_std,MFCC_10_mean,MFCC_10_std,MFCC_11_mean,MFCC_11_std,MFCC_12_mean,MFCC_12_std,MFCC_13_mean,MFCC_13_std,Spectral_Contrast_1,Spectral_Contrast_2,Spectral_Contrast_3,Spectral_Contrast_4,Spectral_Contrast_5,Spectral_Contrast_6,Spectral_Contrast_7,Species
Greater_Prairie_Chicken_10_segment.wav,0.12876350420533642,0.0051975385,2322.8177080340147,1940.8881013646949,4247.436806663283,0.022656193,-607.3371,148.83461,58.378933,30.170414,-64.30115,69.626236,-4.8147063,20.026266,-14.883592,12.688331,-19.057878,14.3112755,-38.743755,17.95202,-26.073807,13.0953,-31.7962,14.561907,-18.64623,10.308969,-17.667616,13.86651,-2.075352,15.748148,4.068814,16.01935,25.64479883629004,21.83811968032849,19.303654202860628,16.241430197557406,16.754993761918488,17.55311959367247,52.76713813583575,Greater Prairie Chicken_filtered
Greater_Prairie_Chicken_11_segment.wav,0.11927883918213457,0.00229507,2093.278400532781,1816.8783932272042,3697.915458236659,0.011877397,-603.753,121.742065,68.05631,26.600107,-65.954384,43.519012,-0.19559275,21.79745,-22.889343,17.465113,-13.826569,11.671821,-43.810577,18.535583,-31.989962,11.593459,-33.94431,14.918983,-26.360462,9.532852,-22.488161,13.107827,-6.7959414,12.893049,1.4105797,13.635276,25.858581944313404,22.016267251698846,19.632328527109813,16.734884059312648,18.96981328231087,16.80342654053542,52.72955441033398,Greater Prairie Chicken_filtered
Greater_Prairie_Chicken_12_segment.wav,0.09651315073955917,0.0019234157,1706.4872251200682,1517.6189992811578,2852.724745323376,0.0026552922,-634.10236,99.83089,92.14916,32.19036,-69.11331,50.261612,3.995682,26.726606,-34.843334,23.703531,-19.358131,15.282254,-39.487503,17.574282,-37.341995,14.203992,-34.62547,10.953304,-36.750717,14.526336,-24.76528,11.567903,-7.9020176,15.687655,-2.495735,13.756356,25.82218990403743,23.24600724455748,21.192435253706414,17.700160084109918,20.296780261050465,18.46026010103954,50.73118136624707,Greater Prairie Chicken_filtered
Greater_Prairie_Chicken_13_segment.wav,0.15783833019141533,0.03303173,2147.7609774017947,1407.6633798559742,3022.8420461136893,0.0048563913,-362.4649,47.372536,56.77031,23.195753,-116.13465,26.835348,-26.334906,22.473322,-19.290815,17.903708,-19.467299,15.491607,-41.655052,19.004278,-10.0470085,13.657272,-14.256019,12.969235,-10.696972,13.013521,-4.7606015,10.438905,7.933569,12.749736,1.8810837,9.607981,25.817203530814943,28.853925474448403,21.014674376287974,18.79764888867084,22.267259141548866,18.56710923976652,54.426586652966826,Greater Prairie Chicken_filtered
Greater_Prairie_Chicken_14_segment.wav,0.04630061811194896,0.009498745,741.3026061034781,672.9949609727303,1015.5827993583237,0.00026899247,-515.0445,30.401329,133.71141,19.362478,7.00484,16.803719,-54.850372,13.409005,-53.281693,13.083961,-40.26064,10.869816,-36.71897,9.9498,-30.63556,6.8996396,-21.739021,7.360491,-18.579073,8.925414,-16.03277,7.5416822,-10.328451,7.6827016,-6.296585,9.146221,25.5451681326634,31.28004362276607,16.131217136619345,19.874102798890725,20.633322924931115,20.81134174561461,41.41721323786767,Greater Prairie Chicken_filtered
Greater_Prairie_Chicken_15_segment.wav,0.18248803654292342,0.013907592,2670.3947055083936,1927.4551229097415,4748.570899343823,0.006712,-372.89157,26.3691,60.69338,18.593615,-71.701454,20.518173,-0.3274308,18.95302,-70.31733,17.85919,-15.640732,15.045083,-49.619934,15.886994,-28.968721,12.952467,-20.777775,12.80089,-24.054302,13.70805,-13.877624,12.425646,-8.6320095,11.701548,-7.798514,11.123115,25.14680593303689,29.88414174621633,15.34119659239013,15.182534073299315,18.229987796812907,21.017488038420044,56.790796529680016,Greater Prairie Chicken_filtered
Greater_Prairie_Chicken_16_segment.wav,0.2055958617314385,0.01021117,2730.715248667205,1792.74715631288,4609.954026790893,0.00786241,-379.4121,35.87305,46.346386,16.957617,-109.60924,23.753036,-1.919913,18.951265,-65.044685,15.530747,-12.28281,14.272008,-59.88588,13.584003,-27.515322,12.060292,-28.791965,11.689098,-21.768204,9.878983,-25.135565,12.119695,-11.109128,10.09,-12.003018,9.933173,25.816324116335167,32.82383974060768,14.615378518813005,14.60713946203902,18.918310731512353,20.024936588353704,58.1662274422006,Greater Prairie Chicken_filtered
Greater_Prairie_Chicken_17_segment.wav,0.203617812862529,0.013248404,2725.560841700467,1722.5546003534923,4418.153639791183,0.006802791,-365.66125,37.960735,46.667324,16.746416,-106.33998,23.574928,8.418819,15.47741,-58.622574,16.236982,-21.738531,15.261985,-56.410374,15.68418,-25.061766,11.856303,-29.120874,12.409163,-20.708694,11.253481,-25.840776,11.287401,-7.794904,12.606954,-7.929398,11.47517,25.47511789273121,32.836224464813625,14.651118710290456,14.584447687250357,19.083698538282206,20.60065820863216,57.86664433104463,Greater Prairie Chicken_filtered
Greater_Prairie_Chicken_18_segment.wav,0.18011120577146172,0.01426895,2469.914951186609,1668.2737743908142,4189.7318191705335,0.0071628406,-366.9572,45.548077,51.273056,17.480947,-116.64857,22.026567,-6.9369807,16.884426,-51.246086,15.867023,-15.587653,14.865316,-57.698006,12.283547,-25.349985,13.201321,-25.96144,12.260818,-19.71619,10.202937,-20.418114,10.123647,-4.406701,10.098336,-7.6625633,9.844063,25.50630721940438,32.05222144384045,14.881122525440919,16.188951828737355,19.3308973467734,19.081971284992363,57.65951877238605,Greater Prairie Chicken_filtered
Greater_Prairie_Chicken_19_segment.wav,0.1630610136310905,0.0022706701,3383.3391114225487,2540.1149747232407,6107.336000942575,0.029439284,-534.4769,10.643873,23.753204,12.703865,-30.486101,7.1814365,-2.8393693,8.589923,-58.10691,10.012972,-12.628218,11.449716,-42.244446,10.026496,-22.770763,8.204914,-30.430946,8.157759,-17.646608,8.5470495,-24.403305,8.483206,-7.121574,8.798787,-17.449852,8.372496,25.325667233866287,29.221076425071075,14.48325297832996,13.264803193713655,13.529514694413546,17.694356725414966,53.54586192423979,Greater Prairie Chicken_filtered
